Service,Date,Forecast,Lower_CI,Upper_CI
Local Route,2024-09-30,4106,0,10076
Local Route,2024-10-01,4802,0,11281
Local Route,2024-10-02,4622,0,11308
Local Route,2024-10-03,4272,0,11102
Local Route,2024-10-04,3291,0,10239
Local Route,2024-10-05,3590,0,3729
Local Route,2024-10-06,1954,0,2664
Light Rail,2024-09-30,2378,0,4820
Light Rail,2024-10-01,2463,0,5151
Light Rail,2024-10-02,2344,0,5164
Light Rail,2024-10-03,2084,0,5001
Light Rail,2024-10-04,1126,0,4142
Light Rail,2024-10-05,4723,0,1294
Light Rail,2024-10-06,3425,0,233
Peak Service,2024-09-30,165,43,287
Peak Service,2024-10-01,177,46,309
Peak Service,2024-10-02,179,45,313
Peak Service,2024-10-03,148,13,284
Peak Service,2024-10-04,83,0,220
Peak Service,2024-10-05,193,0,74
Peak Service,2024-10-06,193,0,78
Rapid Route,2024-09-30,3451,0,8400
Rapid Route,2024-10-01,3831,0,9283
Rapid Route,2024-10-02,3539,0,9190
Rapid Route,2024-10-03,3261,0,9065
Rapid Route,2024-10-04,1076,0,7029
Rapid Route,2024-10-05,6468,0,1232
Rapid Route,2024-10-06,5002,0,266
School,2024-09-30,1411,0,3834
School,2024-10-01,1483,0,4348
School,2024-10-02,1412,0,4458
School,2024-10-03,1275,0,4414
School,2024-10-04,1097,0,4293
School,2024-10-05,568,0,2524
School,2024-10-06,568,0,2544
